id,genres,budget,status,title,voteAvg,voteCount,revenue,releaseDate,popularity,Opening_Weekend,Theatres,Sequel,Famous Cast,Famous Cast Scale
68721,"Action, Adventure, Science Fiction",200000000,Released,Iron Man 3,6.9,5943,1215439994,03-05-2013,3.381135,174144585,4253,1,1,10
101299,"Science Fiction, Thriller, Action, Adventure",130000000,Released,The Hunger Games: Catching Fire,7.5,2690,847423452,22-11-2013,8.506332,158074286,4163,1,1,10
131631,"Science Fiction, Adventure, Thriller",125000000,Released,The Hunger Games: Mockingjay - Part 1,7,2140,752100229,20-11-2014,21.338223,121897634,4151,1,1,10
49521,"Action, Adventure, Fantasy, Science Fiction",225000000,Released,Man of Steel,6.5,3823,662845518,14-06-2013,3.718053,116619362,4207,1,1,7
127585,"Action, Adventure, Fantasy, Science Fiction",250000000,Released,X-Men: Days of Future Past,7.6,2730,746000000,23-05-2014,7.805869,110576604,3996,1,1,10
91314,"Science Fiction, Action, Adventure",210000000,Released,Transformers: Age of Extinction,6,1671,245500000,27-06-2014,5.441511,100038390,4233,1,1,7
100402,"Action, Adventure, Science Fiction",170000000,Released,Captain America: The Winter Soldier,7.7,2600,714766572,04-04-2014,9.572116,95023721,3938,1,1,8
118340,"Science Fiction, Fantasy, Adventure",170000000,Released,Guardians of the Galaxy,8.1,3738,774176600,01-08-2014,12.277312,94320883,4080,0,1,8
124905,"Thriller, Action, Science Fiction",160000000,Released,Godzilla,6.2,1634,528676069,16-05-2014,3.608321,93188384,3952,1,0,4
102382,"Action, Adventure, Fantasy",200000000,Released,The Amazing Spider-Man 2,6.7,2042,705717432,02-05-2014,5.285063,91608337,4324,1,0,5
76338,"Action, Adventure, Fantasy",170000000,Released,Thor: The Dark World,6.9,2134,479765000,08-11-2013,5.487151,85737841,3841,1,1,8
93456,"Animation, Comedy, Family",76000000,Released,Despicable Me 2,7,2833,970761885,03-07-2013,2.882309,83517315,3997,1,0,5
62211,"Family, Animation",200000000,Released,Monsters University,7,1695,743559607,21-06-2013,2.424146,82429469,4004,0,0,4
68728,"Fantasy, Adventure, Family",200000000,Released,Oz: The Great and Powerful,5.6,2526,491868548,08-03-2013,1.302879,79110453,3912,0,0,4
57158,"Adventure, Fantasy",250000000,Released,The Hobbit: The Desolation of Smaug,7.6,2164,958400000,13-12-2013,4.80348,73645197,3903,1,1,8
119450,"Science Fiction, Action, Drama, Thriller",170000000,Released,Dawn of the Planet of the Apes,7.5,1949,708200000,11-07-2014,6.514888,72611427,3967,1,0,4
54138,"Action, Adventure, Science Fiction",190000000,Released,Star Trek Into Darkness,7.4,2763,467365246,16-05-2013,3.354702,70165559,3868,1,1,7
102651,"Fantasy, Adventure, Action, Family, Romance",180000000,Released,Maleficent,7,1997,758410378,30-05-2014,4.635786,69431298,3948,0,1,8
137106,"Adventure, Fantasy, Animation, Comedy, Action, Family",60000000,Released,The Lego Movie,7.6,1675,468760692,07-02-2014,3.065704,69050279,3775,0,0,7
72190,"Action, Drama, Horror, Science Fiction, Thriller",200000000,Released,World War Z,6.8,2719,531865000,21-06-2013,2.023653,66411834,3607,0,1,9
187017,"Crime, Comedy, Action",50000000,Released,22 Jump Street,7.1,1566,188441614,13-06-2014,3.250562,57071445,3306,1,1,6
177572,"Adventure, Family, Animation, Action, Comedy",165000000,Released,Big Hero 6,7.9,2621,652105443,07-11-2014,10.134441,56215889,3761,0,0,4
49047,"Science Fiction, Thriller, Drama",105000000,Released,Gravity,7.6,2484,716392705,04-10-2013,3.5262,55785112,3575,0,1,9
122917,"Adventure, Fantasy",250000000,Released,The Hobbit: The Battle of the Five Armies,7.2,2129,955119788,17-12-2014,17.213982,54724334,3875,1,1,8
157350,"Science Fiction, Action",85000000,Released,Divergent,6.9,1984,288747895,21-03-2014,5.372601,54607747,3936,0,0,5
76170,"Action, Science Fiction, Adventure, Fantasy",120000000,Released,The Wolverine,6.4,2452,415440673,25-07-2013,0.536251,53113752,3924,1,1,9
64682,"Drama, Romance",105000000,Released,The Great Gatsby,7.2,1603,351040419,10-05-2013,1.772302,50085185,3535,0,1,10
82702,"Fantasy, Action, Adventure, Animation, Comedy, Family",145000000,Released,How to Train Your Dragon 2,7.9,1472,609123048,13-06-2014,2.591902,49451322,4253,1,0,6
195589,Comedy,18000000,Released,Neighbors,6.1,1132,268157400,08-05-2014,2.156665,49033915,3279,0,0,6
222935,"Romance, Drama",12000000,Released,The Fault in Our Stars,8,1538,305151265,16-05-2014,3.677,48002523,3173,0,0,4
157336,"Drama, Science Fiction",165000000,Released,Interstellar,8.3,3738,621752480,05-11-2014,18.781553,47510360,3561,0,1,10
53182,"Action, War",110000000,Released,300: Rise of an Empire,6.2,1228,331169117,07-03-2014,3.905729,45038460,3470,1,1,7
240832,"Action, Science Fiction",40000000,Released,Lucy,6.3,2602,458863600,25-07-2014,8.221848,43899340,3173,0,1,7
86834,"Drama, Adventure",125000000,Released,Noah,5.5,1188,362637473,26-03-2014,2.32457,43720472,3567,0,1,7
49519,"Fantasy, Animation, Adventure, Comedy, Family",135000000,Released,The Croods,6.9,1354,585178928,22-03-2013,1.910602,43639736,4046,0,0,5
138843,"Horror, Thriller",13000000,Released,The Conjuring,7.3,1301,318000141,19-07-2013,1.961673,41855326,2903,0,0,4
109439,Comedy,103000000,Released,The Hangover Part III,5.9,1578,362000072,23-05-2013,1.500504,41671198,3555,1,1,8
168530,"Action, Comedy",25000000,Released,Ride Along,5.9,396,153997819,17-01-2014,1.221391,41516170,2663,0,0,5
109418,Comedy,80000000,Released,Grown Ups 2,6,620,246984278,12-07-2013,1.133988,41508572,3491,1,0,6
72559,"Adventure, Action, Science Fiction, Thriller",130000000,Released,G.I. Joe: Retaliation,5.4,2352,371876278,29-03-2013,2.143565,40501814,3719,1,0,7
172385,"Animation, Family",103000000,Released,Rio 2,6.6,478,500188435,11-04-2014,1.777271,39327869,3948,1,0,7
136795,"Action, Comedy, Crime",43000000,Released,The Heat,6.6,893,158674180,28-06-2013,1.281533,39115043,3181,0,1,7
210577,"Mystery, Thriller, Drama",61000000,Released,Gone Girl,8,2445,368061911,03-10-2014,10.230017,37513109,3014,0,1,8
68726,"Action, Science Fiction, Adventure",180000000,Released,Pacific Rim,6.7,2703,407602906,12-07-2013,2.068632,37285325,3275,0,0,4
250546,Horror,6500000,Released,Annabelle,5.7,567,255273813,03-10-2014,1.477672,37134255,3185,0,0,4
75612,"Action, Science Fiction, Adventure, Mystery",120000000,Released,Oblivion,6.3,3169,286168572,18-04-2013,2.166922,37054485,3783,0,1,9
100042,Comedy,40000000,Released,Dumb and Dumber To,5.6,581,169837010,14-11-2014,3.016749,36111775,3154,0,0,4
109431,"Comedy, Crime",35000000,Released,Identity Thief,5.6,1175,173965010,09-02-2013,1.222008,34551025,3141,0,0,4
156022,"Thriller, Action, Crime",55000000,Released,The Equalizer,7.3,1377,192330738,26-09-2014,5.127787,34137828,3236,0,0,4
158015,"Science Fiction, Horror, Thriller",3000000,Released,The Purge,5.8,1002,89328627,06-06-2013,0.886937,34058360,2536,0,0,4
109451,"Animation, Family, Comedy",78000000,Released,Cloudy with a Chance of Meatballs 2,6.5,456,248384621,27-09-2013,1.153776,34017930,4001,1,0,4
116711,"Animation, Adventure, Family, Fantasy",100000000,Released,Epic,6.4,685,268426634,24-05-2013,2.048834,33531068,3882,0,0,5
198663,"Action, Mystery, Science Fiction, Thriller",34000000,Released,The Maze Runner,7.1,2251,166914185,19-09-2014,18.017997,32512804,3604,0,0,4
82703,"Animation, Adventure, Family",145000000,Released,Mr. Peabody & Sherman,6.9,381,272912430,07-03-2014,1.385074,32207057,3934,0,0,6
208134,Comedy,15000000,Released,Jackass Presents: Bad Grandpa,6.2,381,151831537,25-10-2013,0.828547,32055177,3336,0,0,4
224141,"Music, Family, Fantasy, Comedy",50000000,Released,Into the Woods,5.7,683,212902372,25-12-2014,1.771855,31051923,2440,0,0,6
227306,"Drama, War",65000000,Released,Unbroken,7.2,618,161459297,25-12-2014,2.79737,30621445,3131,0,0,4
117263,"Action, Thriller",70000000,Released,Olympus Has Fallen,6.1,2018,161025640,22-03-2013,1.16665,30373794,3098,0,1,7
146304,Comedy,17000000,Released,The Best Man Holiday,7,54,71625195,15-11-2013,0.53097,30107555,2024,0,0,4
238636,"Horror, Thriller",9000000,Released,The Purge: Anarchy,6.6,655,108782847,17-07-2014,2.902958,29816675,2805,1,0,4
68724,"Science Fiction, Action, Drama, Thriller",115000000,Released,Elysium,6.5,1823,286140700,09-08-2013,3.75437,29807393,3284,0,1,9
184315,"Action, Adventure",100000000,Released,Hercules,5.7,840,243400000,23-07-2014,3.938989,29800263,3595,0,0,6
75656,"Thriller, Crime",75000000,Released,Now You See Me,7.2,2214,117698894,12-06-2013,2.69845,29350389,2925,0,1,7
57201,"Action, Adventure, Western",255000000,Released,The Lone Ranger,6,1192,89289910,03-07-2013,2.400708,29210849,3904,0,1,8
225574,"Action, Thriller, Mystery",50000000,Released,Non-Stop,6.8,1248,222809600,28-02-2014,2.71519,28875635,3090,0,1,8
137113,"Action, Science Fiction",178000000,Released,Edge of Tomorrow,7.7,2320,369200000,06-06-2014,5.47734,28760246,3490,0,1,10
132232,Horror,15000000,Released,Mama,6,718,146497771,18-01-2013,0.857133,28402310,2647,0,0,4
82700,"Science Fiction, Action, Adventure",130000000,Released,After Earth,5.1,1350,243843127,30-05-2013,1.247639,27520040,3401,0,1,8
109410,Drama,40000000,Released,42,6.7,576,95020213,12-04-2013,0.807891,27487144,3003,0,0,4
81005,"Fantasy, Action",195000000,Released,Jack the Giant Slayer,5.5,1982,197687603,01-03-2013,1.131987,27202226,3525,0,0,5
136400,"Action, Crime, Drama, Comedy, Thriller",74000000,Released,2 Guns,6.7,896,131940411,02-08-2013,2.071655,27059130,3025,0,1,7
80274,"Science Fiction, Action, Adventure",110000000,Released,Ender's Game,6.6,1110,125537191,01-11-2013,1.537458,27017351,3407,0,0,4
138832,"Comedy, Crime",37000000,Released,We're the Millers,6.9,1357,269994119,07-08-2013,1.661782,26419396,3260,0,0,5
109443,Comedy,50000000,Released,Anchorman 2: The Legend Continues,6.1,449,173649015,18-12-2013,0.862244,26232425,3507,1,0,4
109428,Horror,17000000,Released,Evil Dead,6.3,1034,97542952,05-04-2013,1.969292,25775847,3025,1,0,4
109424,"Action, Drama, Thriller",55000000,Released,Captain Phillips,7.7,1233,95000000,11-10-2013,2.158219,25718314,3020,0,1,9
270946,"Family, Animation, Adventure, Comedy",132000000,Released,Penguins of Madagascar,6.7,604,373552094,26-11-2014,5.135583,25447444,3764,0,0,4
98566,"Science Fiction, Action, Adventure, Fantasy, Comedy",125000000,Released,Teenage Mutant Ninja Turtles,6,1262,477200000,08-08-2014,6.857125,25398367,2006,0,0,4
117251,"Action, Drama, Thriller",150000000,Released,White House Down,6.4,1018,205366737,28-06-2013,1.531792,24852258,3222,0,0,6
47964,"Action, Thriller",92000000,Released,A Good Day to Die Hard,5.2,2735,304654182,14-02-2013,2.489443,24834845,3553,1,1,7
193610,"Comedy, Romance",40000000,Released,The Other Woman,6.1,693,196781193,25-04-2014,1.601735,24763752,3205,0,0,6
132363,Drama,25000000,Released,The Butler,7.1,477,115922175,16-08-2013,0.706161,24637312,2933,0,0,4
147441,"Adventure, Drama, Action",140000000,Released,Exodus: Gods and Kings,5.7,966,268031828,12-12-2014,5.925067,24115934,3503,0,1,8
228150,"War, Drama, Action",68000000,Released,Fury,7.5,1661,211817906,17-10-2014,7.399668,23702421,3173,0,1,9
