Topic,Sentiment,TweetId,TweetDate,TweetText
Iron Man 3,positive,1.37E+12,,Iron Man 3 live wallpaper would make Stark Industries proud: Are you ready to line up for the premiere of Iron... http://bit.ly/153Ntkb
Despicable Me 2,positive,3.52E+17,,I want to go watch Despicable Me 2
Iron Man 3,positive,3.29E+17,,Iron Man 3! badass trailer
Iron Man 3,positive,3.25E+17,,damn new iron man 3 trailer so badass. fliping while suiting up?! multiple suits! and SUITCEPTION?!
Iron Man 3,positive,3.29E+17,,OKAY SO I JUST PEED MY PANTS BECAUSE IRON MAN 3 TRAILER!!! GOT TO THIS BAD BOY THIS WEEKEND BEFORE I LEAVE! YESSSSSSSSSSS :)
Iron Man 3,positive,3.24E+17,,I want to see iron man 3 so bad and Catching Fire Trailer coming up!!!
Iron Man 3,positive,3.24E+17,,its been a long wait for iron man 3. the trailer is just too sweet 
Iron Man 3,positive,3.24E+17,,"I must admit I am looking forward to iron man 3, trailer is looking badass"
Iron Man 3,positive,3.24E+17,,Yo! I just saw the trailer for Iron Man 3...........whaaaaaaaaaattttttt....I'm DEFF gonna and peep that! Too hyped now!
Iron Man 3,positive,3.29E+17,,Iron Man 3! bad ass trailer
Iron Man 3,positive,3.29E+17,,Want to see this so bad. Iron Man 3 Official Trailer (2013) Marvel Movie HD http://youtu.be/aV8H7kszXqo
Texas Chainsaw 3d,negative,2.87E+17,,"If I can count off the """"Cabin in the Woods criteria"""" from the trailer of Texas Chainsaw 3D, I have very little hope for it."
Texas Chainsaw 3d,negative,2.87E+17,,Seriously? Playing Auld Lang Syne for the Texas Chainsaw 3D trailer? Wtf is that?
Despicable Me 2,positive,3.52E+17,,And did I mention where I currently am...? EARLY SHOWING OF DESPICABLE ME 2!!!!!!! Way too pumped about this right now.
Despicable Me 2,positive,3.52E+17,,I'm 24 years old and am at the opening night of Despicable Me 2. Nothing wrong with this. #nevergrowup 
Iron Man 3,positive,3.30E+17,,Can't wait to see iron man 3 tomorrow
Iron Man 3,negative,3.30E+17,,"fuck iron man 3, its all about fast and furious 6"
Iron Man 3,positive,3.30E+17,,Ready for Iron Man 3 premier with @CaptainbenG. This movie is gonna be freaking awesome
